Level|Parition|Comm (bits)|Time Set(s)|Time Str(s)|Str Recon True
2 4 1552858 0.036203 3.076802 1
2 7 1048053 0.031666 3.139649 1
2 10 1220790 0.033164 3.125602 1
3 4 325200 0.023735 4.937209 1
3 7 338546 0.037855 6.024502 1
3 10 204088 0.036327 5.914414 1
4 4 227193 0.036297 7.440000 1
4 7 199064 0.048493 11.851150 1
4 10 478627 0.150324 21.811849 1
